title,author,star5,star4,star3,star2,star1
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",Al Sweigart,82%,12%,3%,1%,1%
Data Structures and Algorithm Analysis in Java: International Edition,Mark Allen Weiss,73%,12%,5%,5%,5%
Business Analysis For Dummies,"Kupe Kupersmith, Paul Mulvey, et al.",70%,14%,10%,3%,3%
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",Santos Ozoemena,100%,0%,0%,0%,0%
CompTIA Data+ Study Guide: Exam DA0-001,"Mike Chapple,  and , Sharif Nijim",77%,12%,8%,3%,0%
RNA Sequencing: Principles and Data Analysis,Lara Ozkan,60%,27%,7%,6%,0%
Analysis of Panel Data (Econometric Society Monographs),Cheng Hsiao,0%,0%,0%,0%,0%
R For Dummies,"Andrie de Vries,  and , Joris Meys",66%,22%,8%,2%,3%
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)),Michael Alexander,86%,14%,0%,0%,0%
Decisions Over Decimals: Striking the Balance between Intuition and Information,"Paul F. Magnone, Christopher J. Frank, et al.",95%,5%,0%,0%,0%
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,Arthur Fletcher,76%,20%,1%,2%,1%
Multilevel and Longitudinal Modeling with IBM SPSS (Quantitative Methodology Series),"Ronald H. Heck, Scott L. Thomas, et al.",0%,0%,0%,0%,0%
Talent Intelligence: Use Business and People Data to Drive Organizational Performance,Toby Culshaw,100%,0%,0%,0%,0%
Fundamentals of Music Processing: Using Python and Jupyter Notebooks,Meinard Müller,100%,0%,0%,0%,0%
The Model Thinker: What You Need to Know to Make Data Work for You,"Scott E. Page, Jamie Renell, et al.",68%,20%,6%,3%,2%
An Introduction to Categorical Data Analysis,Alan Agresti,69%,13%,11%,3%,5%
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System,Rupert Morrison,100%,0%,0%,0%,0%
"Python for Data Science: A Crash Course for Data Science and Analysis, Python Machine Learning and Big Data",Computer Science Academy,52%,21%,27%,0%,0%
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),Joseph Schmuller,50%,21%,16%,12%,0%
Think Stats: Exploratory Data Analysis,Allen B. Downey,65%,15%,7%,6%,7%
Data for All,John K. Thompson,0%,0%,0%,0%,0%
