"yy1","age","income","checking","saving","stocks","bond","vehic","houses","nnresre","late","late60","mrthel","install","edn_inst","veh_inst","housecl","own","noccbal","credit_score"
1416,69,321031,27100,98760,0,0,81600,2500000,1500000,"0","0",0,0,0,0,1,1,1,900
1417,66,48935040,267040,394200,0,0,93720,3940000,0,"0","0",0,34000,0,34000,1,1,1,890
1418,33,12755,15,0,0,0,5720,0,0,"0","0",0,0,0,0,2,1,1,751
1419,57,81068,10000,0,0,0,16200,0,0,"0","0",0,17600,3000,14600,2,1,1,748
1420,29,124305,13000,21400,1500,0,32400,409000,0,"0","0",188200,8100,8100,0,1,1,1,682
1421,82,112436,6400,0,0,0,43000,426800,784800,"0","0",0,0,0,0,1,1,1,866
1422,67,175108,3000,0,0,0,60660,185000,0,"1","0",83000,22800,0,22800,1,1,0,637
1423,51,2883873,791200,0,0,0,26200,2200000,0,"0","0",437400,0,0,0,1,1,1,610
1424,64,73718,550,600,8,0,16200,0,0,"1","0",0,13020,7900,5120,2,1,0,697
1425,82,53981,11740,37140,0,0,7160,1200000,0,"0","0",165000,0,0,0,1,1,0,843
1426,61,39561,200,6,0,0,28980,210000,5000,"0","0",130000,5180,0,0,1,1,0,777
1427,41,49073,0,0,0,0,7280,0,0,"0","0",0,0,0,0,2,1,1,750
1428,68,5222966,6406,1146,15636000,0,92800,9814000,0,"0","0",5164000,0,0,0,1,1,1,600
1429,50,37832,3000,0,0,0,52400,0,0,"0","0",0,19000,0,19000,2,1,0,848
1430,76,13836,800,0,0,0,11080,1e+05,0,"1","1",0,1540,0,0,1,1,0,659
1431,61,55559,43,0,0,0,31400,185000,0,"0","0",177000,31600,0,31600,1,1,0,752
1432,65,23348,500,1000,0,0,27200,0,0,"0","0",0,23340,0,23000,2,1,0,846
1433,38,28752,1902,0,0,0,0,0,0,"0","0",0,43600,30000,0,2,0,0,786
1435,55,188943,15000,17500,170000,0,36880,1100000,0,"0","0",450000,171000,169000,0,1,1,0,790
1436,70,60531,6700,4580,0,0,32400,550000,0,"0","0",0,0,0,0,1,1,1,744
1437,57,709078,40000,125000,0,0,97620,5e+06,0,"0","0",750000,0,0,0,1,1,1,675
1438,27,547806,95600,165412,13000,0,0,0,0,"1","0",0,0,0,0,2,0,1,603
1439,83,13619,850,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,1,700
1440,58,86473,6292,0,0,0,31400,445000,0,"0","0",105200,0,0,0,1,1,0,809
1441,34,50803,1140,0,0,0,4480,0,0,"1","0",0,1800,0,0,2,1,1,600
1442,66,121278,1460,0,0,0,117840,525000,0,"0","0",0,0,0,0,1,1,1,793
1443,50,143761,1268000,0,793600,0,231740,310000,0,"0","0",48000,0,0,0,1,1,0,972
1445,36,145923,24400,27600,0,0,12800,275000,274000,"0","0",73600,0,0,0,1,1,0,820
1446,64,96201,17000,0,0,0,22100,250000,0,"0","0",0,0,0,0,1,1,1,750
1447,63,15133,2500,0,0,0,14400,352000,0,"0","0",59000,0,0,0,1,1,1,709
1448,78,180080,41080,0,30000,0,20340,7e+05,0,"0","0",0,0,0,0,1,1,1,784
1449,42,131439,29594,0,0,0,104480,475000,0,"0","0",156600,33658,0,33658,1,1,0,823
1450,71,49073,4000,21000,11600,0,83600,201000,0,"0","0",0,34400,0,34400,1,1,1,713
1451,79,154354,31520,227272,0,0,37200,650000,0,"0","0",220000,0,0,0,1,1,0,869
1452,64,7631,3860,0,0,0,4780,0,0,"0","0",0,0,0,0,2,1,1,751
1453,31,224397,14650,262710,95400,20000,27200,6e+05,0,"0","0",390000,850,0,0,1,1,1,675
1455,69,141816,5500,4000,1400,0,85620,2e+05,0,"0","0",0,0,0,0,1,1,0,985
1456,56,458523,50000,0,348000,0,110400,1400000,0,"0","0",343600,36000,36000,0,1,1,1,786
1457,54,8647,140,0,0,0,5800,0,0,"0","0",0,88,0,0,2,1,0,850
1458,45,21402,388,10,0,0,23600,0,0,"0","0",0,210520,113200,22000,2,1,1,688
1459,64,337244,55000,0,0,0,24360,5e+05,0,"0","0",278000,0,0,0,1,1,1,650
1460,68,248394,15000,0,0,0,117000,1500000,4704000,"0","0",0,11360,0,11360,1,1,1,897
1461,53,59450,700,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,0,802
1462,51,172297,1200,1000,2300,0,13720,350000,5100,"0","0",248200,30100,26100,0,1,1,0,776
1463,69,452037,144400,0,2138000,0,67800,1300000,0,"0","0",0,0,0,0,1,1,1,900
1464,48,46695,538,0,0,0,24720,2e+05,0,"0","0",196000,8860,0,8860,1,1,0,753
1465,40,75015,1200,500,0,0,11600,0,0,"0","0",0,11600,0,11600,2,1,0,847
1466,65,97498,2000,12000,0,0,78200,350000,0,"0","0",2000,1520,0,1520,1,1,0,840
1467,40,97282,75000,0,0,0,45400,248000,0,"0","0",145800,27480,0,27480,1,1,1,675
1468,40,199969,9000,4000,0,0,21000,6e+05,0,"0","0",420000,34860,27500,7360,1,1,0,698
1469,84,62693,1200,4000,0,0,6260,0,0,"0","0",0,0,0,0,2,1,0,862
1470,61,5523459,97800,0,5286000,0,0,4392000,2180000,"0","0",4e+05,0,0,0,1,0,1,730
1471,63,1340331,35000,0,10000,0,119200,5e+06,0,"0","0",1860000,0,0,0,1,1,1,600
1472,49,133601,4500,64000,0,0,5400,0,0,"0","0",0,0,0,0,2,1,0,871
1473,85,51668,13000,8000,0,0,12740,240000,0,"0","0",46000,0,0,0,1,1,1,717
1474,32,151328,15000,0,0,0,30000,6e+05,0,"0","0",6e+05,0,0,0,1,1,1,566
1475,75,10877441,5120,0,27416000,0,243800,2202000,170000,"0","0",0,0,0,0,1,1,1,900
1476,24,71340,13964,2000,0,0,59800,0,0,"0","0",0,122100,122000,0,2,1,0,816
1478,26,106362,1880,7000,0,0,3720,0,0,"0","0",0,12836,9700,0,2,1,0,845
1480,72,296170,30000,0,250000,0,70000,650000,8e+05,"0","0",440000,0,0,0,1,1,1,768
1481,66,58369,8000,0,0,0,25800,450000,0,"0","0",125000,0,0,0,1,1,1,696
1482,50,165488,10050,0,0,0,15000,230000,0,"0","0",172000,0,0,0,1,1,0,934
1483,57,74151,5080,26060,0,0,32500,306400,0,"0","0",80000,0,0,0,1,1,0,808
1484,48,115225,10100,0,944,0,26600,0,0,"0","0",0,175800,140600,25000,2,1,1,705
1485,45,1372758,110000,40000,3e+06,0,17000,2200000,0,"0","0",1300000,0,0,0,1,1,0,700
1486,67,489653,83000,8000,0,0,176800,1e+06,1300000,"0","0",0,100,0,0,1,1,1,900
1487,41,23780,7000,0,1000,0,11320,0,0,"0","0",0,0,0,0,2,1,1,768
1488,59,51884,5084,0,0,0,43660,5e+05,0,"0","0",148200,0,0,0,1,1,1,692
1489,74,81285,2588,7480,0,0,16600,0,0,"0","0",0,0,0,0,2,1,1,766
1490,61,6053106,320322,0,2754000,4786000,0,6044000,0,"0","0",1490000,0,0,0,1,0,1,550
1491,30,128629,3000,7000,100,0,25040,425000,0,"0","0",287000,40600,40600,0,1,1,0,729
1492,46,95553,6880,0,0,0,34400,550000,0,"1","0",244000,8100,0,8100,1,1,0,623
1494,62,86041,169300,43000,1100000,0,45200,395000,0,"0","0",0,0,0,0,1,1,1,857
1495,51,137276,562,500,0,0,36800,240000,0,"0","0",196000,13860,0,13860,1,1,0,791
1496,61,140086,17540,745316,8540,0,48800,425800,0,"0","0",209800,0,0,0,1,1,1,837
1497,40,38264,1500,0,0,0,4500,0,0,"0","0",0,2000,0,0,2,1,1,750
1498,29,91878,22500,0,20000,0,21400,0,0,"0","0",0,2020,0,2020,2,1,1,757
1499,63,58153,1200,5880,0,0,3400,0,0,"0","0",0,5000,5000,0,2,1,1,749
1500,71,418961,77000,0,406800,0,33000,1200000,2608000,"0","0",0,0,0,0,1,1,1,900
1501,39,162137,5450,6500,15000,0,100180,435000,0,"1","0",355000,59400,1800,57600,1,1,0,561
1502,43,261148,2980,1480,0,0,24600,5e+05,0,"0","0",3e+05,3580,0,3580,1,1,1,650
1503,76,1410590,0,2102600,8140000,0,288800,3500000,0,"0","0",0,0,0,0,1,1,1,900
1504,49,22699,70,8,0,0,4060,0,0,"0","0",0,0,0,0,2,1,1,750
1505,78,366861,10000,24000,0,0,12000,1400000,0,"1","0",0,0,0,0,1,1,1,780
1506,25,7588,160,0,0,0,4400,35000,0,"0","0",0,0,0,0,1,1,0,802
1507,38,97282,6816,3000,0,0,54200,20000,0,"1","0",0,42800,0,42800,1,1,0,644
1508,56,154570,161600,0,0,0,48060,250000,0,"0","0",1e+05,145000,142000,0,1,1,0,807
1509,75,113496,10206,13910,0,0,39260,2e+05,0,"0","0",0,0,0,0,1,1,1,729
1510,43,32427,1114,100,310,0,0,0,0,"0","0",0,30800,0,0,2,0,0,790
1511,39,26590,400,0,0,0,38380,0,0,"1","0",0,18720,10000,8720,2,1,1,597
1512,66,83771,4300,17500,0,0,76000,280000,0,"0","0",22400,0,0,0,1,1,1,759
1513,33,81933,0,6542,0,0,42800,0,0,"0","0",0,29640,9300,20340,2,1,0,842
1514,57,288603,45000,15000,0,0,75580,530800,0,"0","0",0,12400,0,12400,1,1,1,896
1515,89,14052,12780,0,162400,0,0,1e+06,215000,"0","0",0,0,0,0,1,0,1,779
1516,38,79771,3500,0,0,0,0,640600,0,"0","0",4e+05,119000,112000,0,1,0,0,636
1517,40,56207,100,0,0,0,14420,2e+05,0,"0","0",31000,0,0,0,1,1,0,805
1518,65,13360,1000,4000,0,0,0,0,0,"0","0",0,0,0,0,2,0,1,701
1519,46,675786,32760,102000,5e+05,0,29600,1100000,0,"0","0",763000,0,0,0,1,1,1,610
1520,37,405342,22000,0,580000,0,27780,7e+05,0,"0","0",4e+05,3000,0,3000,1,1,0,780
1521,71,600771,5142500,0,0,0,500600,2200000,40500000,"0","0",480000,0,0,0,1,1,1,756
1522,52,140519,20000,0,200,0,71580,0,0,"0","0",0,120000,60000,60000,2,1,0,820
1523,45,136843,4500,5000,0,0,2000,0,0,"0","0",0,0,0,0,2,0,0,805
1524,61,41075,700,500,0,0,5620,0,0,"0","0",0,0,0,0,2,1,1,752
1525,63,194564,5000,2000,0,0,32946,7e+05,0,"0","0",45000,0,0,0,1,1,0,982
1526,48,85176,25200,0,0,6000,0,670000,0,"0","0",0,0,0,0,1,0,1,744
1527,58,73502,500,0,0,0,9000,0,0,"1","0",0,0,0,0,2,1,0,701
1529,47,80852,6820,2522,0,0,20000,3e+05,0,"0","0",108800,2240,0,0,1,1,1,692
1530,50,145275,3306,0,0,0,24000,950000,0,"0","0",4e+05,16880,0,6000,1,1,0,792
1531,41,186133,9826,57600,0,0,29600,0,0,"0","0",0,83600,83600,0,2,1,0,830
1533,70,4950576,48000,355000,7958000,0,149800,13550000,1030000,"0","0",7384000,0,0,0,1,1,0,700
1534,26,33076,554,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,0,800
1536,63,899319,135200,0,250000,0,67680,2900000,0,"0","0",0,0,0,0,1,1,1,842
1537,33,1160899,61000,186400,125000,0,9160,583600,708000,"0","0",0,0,0,0,1,1,1,900
1538,38,48641,1000,0,0,0,0,3e+05,0,"1","1",160000,0,0,0,1,0,0,571
1539,80,25942,100,0,0,0,0,50000,0,"0","0",0,0,0,0,1,0,1,653
1540,46,62693,1070,0,0,0,14400,0,0,"0","0",0,21800,0,21800,2,1,0,843
1541,87,97984657,100200,0,205544000,7710000,0,6580000,0,"0","0",0,0,0,0,1,0,1,850
1542,70,25077,200,0,0,0,5200,0,0,"0","0",0,0,0,0,2,1,1,751
1543,70,532025,20000,0,0,0,0,7e+05,0,"0","0",2e+05,0,0,0,1,0,1,790
1544,43,378319,44140,0,0,0,42600,315000,0,"0","0",78400,0,0,0,1,1,1,876
1545,58,194564,13000,56000,43000,0,88000,950000,0,"0","0",536000,69000,0,69000,1,1,0,699
1546,77,3085701,338978,0,16868000,0,175800,6e+05,0,"0","0",0,0,0,0,1,1,1,900
1547,46,4835999,101800,0,10064000,0,131620,2782000,0,"0","0",1302000,0,0,0,1,1,1,600
1548,50,76529,3700,0,0,0,10040,1650000,0,"0","0",235000,0,0,0,1,1,0,848
1549,58,3956137,80000,0,2500000,0,135400,1e+06,0,"0","0",0,0,0,0,1,1,1,900
1550,41,40858,50,0,0,0,46600,0,0,"0","0",0,74604,46204,28400,2,1,1,731
1551,65,140519,8492,13300,0,0,25840,650000,0,"0","0",0,0,0,0,1,1,1,760
1552,47,162137,50000,50000,1e+05,0,49800,1600000,0,"0","0",370000,0,0,0,1,1,0,821
1553,94,58153,35000,60000,10000,0,38400,527000,0,"0","0",0,0,0,0,1,1,1,752
1554,73,178350,128000,0,0,0,94500,1e+06,0,"0","0",0,0,0,0,1,1,1,879
1555,39,148085,5300,42300,0,0,43600,480000,0,"0","0",469800,0,0,0,1,1,0,698
1556,23,84311,2800,0,0,0,57400,230000,0,"0","0",2e+05,26600,0,26600,1,1,0,751
1557,52,143761,300,54000,0,0,45400,464000,311600,"0","0",415000,15600,0,15600,1,1,1,646
1558,72,69395,110000,247000,0,0,24800,5e+05,2e+06,"0","0",0,0,0,0,1,1,1,900
1559,38,38264,3000,7000,0,0,0,0,0,"0","0",0,0,0,0,2,0,0,798
1560,31,117819,8600,750,0,0,15200,0,0,"1","1",0,20026,20000,0,2,1,0,696
1561,26,59450,358,0,0,0,67600,0,0,"0","0",0,16000,15000,1000,2,1,0,850
1563,45,13619,1,0,0,0,8640,0,0,"0","0",0,14380,0,11000,2,1,1,746
1564,53,47128,200,100,0,0,19400,607800,0,"1","0",125000,36560,23000,13560,1,1,0,642
1565,82,342217,30000,0,3e+05,250000,33000,8e+05,0,"0","0",233000,7200,0,7200,1,1,1,825
1567,56,111334,9438,0,600,0,8220,2e+05,0,"0","0",105000,76200,75000,0,1,1,0,765
1568,67,14319920,24757800,320000,92406000,0,104600,6466000,0,"0","0",0,0,0,0,1,1,1,900
1569,44,169919,5420,18040,19200,0,29800,6e+05,0,"0","0",245000,0,0,0,1,1,1,695
1570,56,114577,100,0,0,0,23800,250000,0,"0","0",197000,560,0,560,1,1,0,766
1571,65,37832,3000,0,0,0,31000,0,0,"0","0",0,0,0,0,2,1,1,752
1572,49,124305,2000,0,0,0,23400,550000,0,"0","0",247000,1000,0,0,1,1,0,768
1573,34,118900,1200,1774,0,0,76520,3e+05,0,"0","0",228400,38200,0,38200,1,1,0,740
1574,44,68530,2322,0,0,0,26200,250000,0,"0","0",172800,0,0,0,1,1,0,767
1575,48,489437,19880,0,0,0,91000,9e+05,0,"0","0",3e+05,0,0,0,1,1,1,698
1576,53,218128,11420,8398,95000,0,147300,7e+05,0,"0","0",360000,0,0,0,1,1,1,685
1577,33,97282,0,0,0,0,13000,0,0,"0","0",0,22000,22000,0,2,1,1,746
1578,28,171649,3520,94532,0,0,9840,0,0,"0","0",0,0,0,0,2,1,0,863
1579,34,27455,108,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,1,701
1580,78,34589,10000,0,0,0,16320,1500000,0,"0","0",430000,0,0,0,1,1,0,772
1581,39,1625691,664940,17200,1500000,0,103800,2e+06,0,"0","0",998200,0,0,0,1,1,1,601
1582,71,36751,623,0,0,0,4400,306000,0,"0","0",125200,0,0,0,1,1,0,779
1583,43,32427,2008,632,0,0,13200,90000,0,"0","0",0,25000,0,0,1,1,0,800
1584,74,62693,4330,1000,0,0,44700,250000,1584,"0","0",70000,8700,0,8700,1,1,0,819
1585,43,111334,5000,0,0,0,17960,450000,0,"0","0",315000,47920,42000,5920,1,1,0,723
1586,77,340703,7000,472128,0,0,25000,425000,0,"0","0",1e+05,0,0,0,1,1,1,847
1587,37,2842798,380000,0,380000,0,154800,2500000,10300000,"0","0",0,0,0,0,1,1,1,900
1588,78,19024,5000,0,0,0,9860,0,0,"0","0",0,0,0,0,2,1,1,751
1589,60,110253,2500,30000,0,0,19800,7e+05,0,"0","0",158000,0,0,0,1,1,0,829
1590,60,50169,0,0,0,0,58700,690000,0,"1","1",350000,0,0,0,1,1,1,495
1591,55,97282,1500,0,0,0,12400,125000,0,"0","0",50000,11560,0,0,1,1,1,691
1592,52,7177255,108600,8132800,19168000,1028800,285640,6700000,0,"0","0",0,0,0,0,1,1,1,900
1593,64,1266829,20000,0,5242000,0,2543200,3900000,0,"0","0",896000,0,0,0,1,1,1,600
1594,39,25942,200,6000,0,0,7680,0,0,"0","0",0,0,0,0,2,1,1,752
1595,64,99444,5300,0,0,0,25860,220000,0,"1","0",70000,888,0,0,1,1,1,553
1596,63,815008,0,0,60000,0,26400,1200000,0,"0","0",0,0,0,0,1,1,1,600
1597,57,938231,10000,10000,717600,0,126000,1500000,60000,"0","0",195000,0,0,0,1,1,1,740
1599,49,45398,11420,0,38,0,102200,425000,5000,"0","0",98000,18400,2200,16200,1,1,0,846
1600,54,552778,20000,249764,530000,0,165800,2200000,25000,"0","0",4e+05,20600,0,20600,1,1,1,774
1601,34,260932,102000,87000,90000,0,38200,8e+05,0,"0","0",330000,18800,0,10400,1,1,1,686
1602,34,102687,7043,4636,0,0,24000,2e+05,0,"0","0",172000,6880,0,6880,1,1,0,762
1603,69,22483,100,212,48000,0,26600,3e+05,0,"0","0",0,0,0,0,1,1,1,725
1604,60,75880,3000,7400,400,0,21200,0,0,"0","0",0,11010,0,0,2,1,0,848
1605,70,130034,34000,420000,0,0,48000,320000,0,"0","0",0,0,0,0,1,1,0,934
1606,46,2797400,5000,1600,405000,0,26000,9e+05,0,"0","0",650000,17000,0,17000,1,1,1,700
1607,63,145275,1480,1400,0,0,23000,372000,0,"0","0",185800,0,0,0,1,1,0,828
1608,46,97282,15000,0,0,0,44400,0,0,"0","0",0,0,0,0,2,1,0,880
1609,48,685082,15300,0,0,0,341400,1e+06,46100,"0","0",710000,211260,44860,166400,1,1,0,700
1610,37,130790,1600,1080,0,0,8900,480000,0,"0","0",352000,0,0,0,1,1,0,723
1611,54,54046,6000,0,0,0,14790,0,0,"1","0",0,10500,10000,0,2,1,0,699
1612,39,81068,5000,0,0,0,30600,4e+05,0,"0","0",0,0,0,0,1,1,0,825
1613,71,83446,2000,0,0,0,23640,140000,0,"0","0",0,0,0,0,1,1,1,718
1614,45,103768,1182,4500,0,0,64200,235000,0,"1","0",132800,60622,20000,40000,1,1,1,513
1615,58,1984554,11000,725000,0,35000,77400,1600000,350000,"0","0",338000,0,0,0,1,1,1,799
1616,69,162137,65784,35740,0,0,29234,940000,0,"0","0",6e+05,0,0,0,1,1,0,703
1617,75,281469,27000,0,5e+05,0,21000,1342000,0,"0","0",0,0,0,0,1,1,1,900
1618,24,64855,1300,2000,0,0,23600,0,0,"0","0",0,11200,0,10600,2,1,0,848
1619,72,26590,500,0,0,0,37300,225000,0,"0","0",0,9660,0,9660,1,1,1,715
1620,85,18592,35200,3000,0,0,7700,125000,0,"0","0",0,0,0,0,1,1,1,712
1621,60,126683,9000,1350,0,0,14600,3e+05,0,"0","0",212000,0,0,0,1,1,1,659
1622,60,67189,2000,3000,7500,0,26180,5e+05,0,"0","0",3e+05,0,0,0,1,1,0,751
1623,65,69178,60000,85000,40000,0,26480,250000,0,"0","0",2400,0,0,0,1,1,1,836
1624,47,28104,300,0,10,0,6760,3e+05,25000,"0","0",82800,0,0,0,1,1,1,689
1625,49,158029,8500,21500,0,0,97000,450000,0,"0","0",126400,0,0,0,1,1,0,811
1626,45,48641,1500,700,0,0,12600,275000,0,"0","0",85000,0,0,0,1,1,0,792
1627,34,75664,16400,6320,0,0,8080,0,0,"0","0",0,0,0,0,2,1,1,752
1628,65,2207222,265000,0,0,0,591200,2800000,5600000,"1","0",0,0,0,0,1,1,1,750
1629,85,44317,8200,8496,0,0,51380,175000,0,"0","0",0,0,0,0,1,1,1,716
1630,55,234558,7200,0,0,0,69640,375000,1e+05,"0","0",78000,79600,79600,0,1,1,1,819
1631,61,40642,14,0,0,0,48620,0,0,"0","0",0,25900,0,22400,2,1,1,745
1632,37,48425,500,720,0,0,0,0,0,"1","0",0,15400,15000,0,2,0,0,646
1633,45,50803,4800,0,0,0,20680,0,0,"0","0",0,3000,0,3000,2,1,1,751
1634,77,595582,177000,20000,3200000,0,335160,1500000,0,"0","0",0,12000,0,12000,1,1,1,724
1635,47,49722,0,0,0,0,12600,0,0,"0","0",0,0,0,0,2,1,1,751
1636,68,32860,15190,1444,0,0,19140,340000,0,"0","0",0,0,0,0,1,1,1,744
1637,21,22267,504,0,0,0,12400,0,0,"1","0",0,260100,254600,5500,2,1,1,523
1638,33,35670,2528,5000,0,0,25200,0,0,"0","0",0,118500,106200,12000,2,1,0,816
1639,62,76312,1000,4300,0,0,58160,650000,0,"0","0",52000,25000,0,25000,1,1,0,835
